measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),New Mexico,Female,50 to 54,Self-harm by other specified means,Number,2015,22.8972672006,31.836398302,14.9622811943
YLDs (Years Lived with Disability),New Mexico,Male,55 to 59,Self-harm by other specified means,Number,2015,21.2697203509,29.304870164,14.1711224314
YLDs (Years Lived with Disability),New Mexico,Female,55 to 59,Self-harm by other specified means,Number,2015,24.4231853128,32.6490491821,15.7448401402
YLDs (Years Lived with Disability),New Mexico,Male,60 to 64,Self-harm by other specified means,Number,2015,19.8188961728,27.3348238163,13.7598321359
YLDs (Years Lived with Disability),New Mexico,Female,60 to 64,Self-harm by other specified means,Number,2015,23.4516859691,32.4654802952,16.1593595518
YLDs (Years Lived with Disability),New Mexico,Male,65 to 69,Self-harm by other specified means,Number,2015,17.6902354691,24.0997907366,12.3596849772
YLDs (Years Lived with Disability),New Mexico,Female,65 to 69,Self-harm by other specified means,Number,2015,20.0051645414,27.4006824124,13.1788646751
YLDs (Years Lived with Disability),New Mexico,Male,70 to 74,Self-harm by other specified means,Number,2015,12.3120309416,16.1290807692,8.31553256118
YLDs (Years Lived with Disability),New Mexico,Female,70 to 74,Self-harm by other specified means,Number,2015,14.472945007,19.3863271831,9.96274292831
YLDs (Years Lived with Disability),New Mexico,Male,75 to 79,Self-harm by other specified means,Number,2015,8.57660229813,11.4114316499,5.76788242915
YLDs (Years Lived with Disability),New Mexico,Female,75 to 79,Self-harm by other specified means,Number,2015,10.5122992978,14.7762479187,7.15704881436
YLDs (Years Lived with Disability),New Mexico,Male,80 plus,Self-harm by other specified means,Number,2015,10.4002065711,13.9923706403,7.34644717548
YLDs (Years Lived with Disability),New Mexico,Female,80 plus,Self-harm by other specified means,Number,2015,15.2291740753,20.6974724897,10.7100863513
YLDs (Years Lived with Disability),New Mexico,Male,<1 year,Self-harm by other specified means,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),New Mexico,Female,<1 year,Self-harm by other specified means,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),New Mexico,Male,Under 5,Interpersonal violence,Number,2015,2.29959352821,3.18771649594,1.60171743647
YLDs (Years Lived with Disability),New Mexico,Female,Under 5,Interpersonal violence,Number,2015,2.95035642212,4.09227613601,2.07687080583
YLDs (Years Lived with Disability),New Mexico,Male,1 to 4,Interpersonal violence,Number,2015,2.06267459766,2.91145978604,1.42618350252
YLDs (Years Lived with Disability),New Mexico,Female,1 to 4,Interpersonal violence,Number,2015,2.76292365533,3.84952290472,1.92551245888
YLDs (Years Lived with Disability),New Mexico,Male,5 to 9,Interpersonal violence,Number,2015,7.83227900967,10.9378872571,5.43319995503
YLDs (Years Lived with Disability),New Mexico,Female,5 to 9,Interpersonal violence,Number,2015,14.7540657456,21.3733245783,9.3768459124
YLDs (Years Lived with Disability),New Mexico,Male,10 to 14,Interpersonal violence,Number,2015,15.1151389976,21.7431980046,10.3421562142
YLDs (Years Lived with Disability),New Mexico,Female,10 to 14,Interpersonal violence,Number,2015,27.4934018316,39.8569279299,17.5703185575
YLDs (Years Lived with Disability),New Mexico,Male,15 to 19,Interpersonal violence,Number,2015,33.684436224,46.075541109,22.8624947083
YLDs (Years Lived with Disability),New Mexico,Female,15 to 19,Interpersonal violence,Number,2015,41.2387813196,59.8543574184,26.821787443
YLDs (Years Lived with Disability),New Mexico,Male,20 to 24,Interpersonal violence,Number,2015,59.8633054141,83.9644496968,42.0749119573
YLDs (Years Lived with Disability),New Mexico,Female,20 to 24,Interpersonal violence,Number,2015,45.9971320746,69.5160025749,29.5465310992
YLDs (Years Lived with Disability),New Mexico,Male,25 to 29,Interpersonal violence,Number,2015,58.3631509909,79.4341421188,42.2567313205
YLDs (Years Lived with Disability),New Mexico,Female,25 to 29,Interpersonal violence,Number,2015,28.9329769345,39.9297289631,20.4444969869
YLDs (Years Lived with Disability),New Mexico,Male,30 to 34,Interpersonal violence,Number,2015,66.3602722242,96.284101423,44.2615584131
YLDs (Years Lived with Disability),New Mexico,Female,30 to 34,Interpersonal violence,Number,2015,27.7124793831,38.6176922797,19.0915501928
YLDs (Years Lived with Disability),New Mexico,Male,35 to 39,Interpersonal violence,Number,2015,65.037872916,92.7230221662,43.3409209518
YLDs (Years Lived with Disability),New Mexico,Female,35 to 39,Interpersonal violence,Number,2015,26.8633323859,38.574188156,17.5187848223
YLDs (Years Lived with Disability),New Mexico,Male,40 to 44,Interpersonal violence,Number,2015,69.6569966296,96.1605050225,47.6843607184
YLDs (Years Lived with Disability),New Mexico,Female,40 to 44,Interpersonal violence,Number,2015,28.8762317615,39.8600154614,19.700095636
YLDs (Years Lived with Disability),New Mexico,Male,45 to 49,Interpersonal violence,Number,2015,76.5445375969,107.519291062,53.5361676877
YLDs (Years Lived with Disability),New Mexico,Female,45 to 49,Interpersonal violence,Number,2015,31.6534683349,44.6046869138,21.6343311019
YLDs (Years Lived with Disability),New Mexico,Male,50 to 54,Interpersonal violence,Number,2015,93.9118983514,127.403744731,64.4340304773
YLDs (Years Lived with Disability),New Mexico,Female,50 to 54,Interpersonal violence,Number,2015,37.3051462452,50.489969165,25.3539646144
YLDs (Years Lived with Disability),New Mexico,Male,55 to 59,Interpersonal violence,Number,2015,95.7294232326,133.019171976,67.9497606569
YLDs (Years Lived with Disability),New Mexico,Female,55 to 59,Interpersonal violence,Number,2015,36.942748853,52.2920105571,26.8549895715
YLDs (Years Lived with Disability),New Mexico,Male,60 to 64,Interpersonal violence,Number,2015,87.2398386404,123.763954543,61.0726211554
YLDs (Years Lived with Disability),New Mexico,Female,60 to 64,Interpersonal violence,Number,2015,34.4873397021,48.137609971,24.5395042094
YLDs (Years Lived with Disability),New Mexico,Male,65 to 69,Interpersonal violence,Number,2015,77.5900452427,107.655351946,53.8567134574
YLDs (Years Lived with Disability),New Mexico,Female,65 to 69,Interpersonal violence,Number,2015,30.5358961931,42.7459936397,21.6930613968
YLDs (Years Lived with Disability),New Mexico,Male,70 to 74,Interpersonal violence,Number,2015,52.5138423203,73.0649180281,36.8689941848
YLDs (Years Lived with Disability),New Mexico,Female,70 to 74,Interpersonal violence,Number,2015,22.6486781324,31.762370564,16.2787258672
YLDs (Years Lived with Disability),New Mexico,Male,75 to 79,Interpersonal violence,Number,2015,35.8556524415,48.615768403,25.0284307438
YLDs (Years Lived with Disability),New Mexico,Female,75 to 79,Interpersonal violence,Number,2015,16.9451041073,23.4826342939,12.0707780207
YLDs (Years Lived with Disability),New Mexico,Male,80 plus,Interpersonal violence,Number,2015,41.709439729,57.7186110596,29.0874866721
YLDs (Years Lived with Disability),New Mexico,Female,80 plus,Interpersonal violence,Number,2015,24.6789513918,34.2404984222,17.7733352681
YLDs (Years Lived with Disability),New Mexico,Male,<1 year,Interpersonal violence,Number,2015,0.236918930551,0.335426096639,0.150866528255
YLDs (Years Lived with Disability),New Mexico,Female,<1 year,Interpersonal violence,Number,2015,0.187432766793,0.275752414966,0.117782126748
YLDs (Years Lived with Disability),New Mexico,Male,Under 5,Physical violence by firearm,Number,2015,0.180093367286,0.289721845466,0.103750813479
YLDs (Years Lived with Disability),New Mexico,Female,Under 5,Physical violence by firearm,Number,2015,0.0996129730026,0.164025449072,0.0590689981113
YLDs (Years Lived with Disability),New Mexico,Male,1 to 4,Physical violence by firearm,Number,2015,0.154977127843,0.252038710516,0.090800025875
YLDs (Years Lived with Disability),New Mexico,Female,1 to 4,Physical violence by firearm,Number,2015,0.085685770668,0.13827229333,0.0496583582226
YLDs (Years Lived with Disability),New Mexico,Male,5 to 9,Physical violence by firearm,Number,2015,0.343160891718,0.549864779453,0.199730109256
YLDs (Years Lived with Disability),New Mexico,Female,5 to 9,Physical violence by firearm,Number,2015,0.178929975405,0.288927786256,0.104373948538
YLDs (Years Lived with Disability),New Mexico,Male,10 to 14,Physical violence by firearm,Number,2015,0.697241773433,1.09081970557,0.417286797319
YLDs (Years Lived with Disability),New Mexico,Female,10 to 14,Physical violence by firearm,Number,2015,0.298550746145,0.478416081939,0.172990381041
YLDs (Years Lived with Disability),New Mexico,Male,15 to 19,Physical violence by firearm,Number,2015,2.20145066253,3.21030209941,1.41897265363
YLDs (Years Lived with Disability),New Mexico,Female,15 to 19,Physical violence by firearm,Number,2015,0.524182974613,0.750066761029,0.336575770446
YLDs (Years Lived with Disability),New Mexico,Male,20 to 24,Physical violence by firearm,Number,2015,4.96487986818,7.58905813572,2.97835861698
YLDs (Years Lived with Disability),New Mexico,Female,20 to 24,Physical violence by firearm,Number,2015,0.896164442688,1.27824945874,0.562064804412
YLDs (Years Lived with Disability),New Mexico,Male,25 to 29,Physical violence by firearm,Number,2015,5.60632462795,8.24794536696,3.34972019027
YLDs (Years Lived with Disability),New Mexico,Female,25 to 29,Physical violence by firearm,Number,2015,1.07949220297,1.46906309775,0.679228175429
YLDs (Years Lived with Disability),New Mexico,Male,30 to 34,Physical violence by firearm,Number,2015,6.30001676985,9.03019856672,3.59477145253
YLDs (Years Lived with Disability),New Mexico,Female,30 to 34,Physical violence by firearm,Number,2015,1.28243002018,1.79708643942,0.776589343068
YLDs (Years Lived with Disability),New Mexico,Male,35 to 39,Physical violence by firearm,Number,2015,6.0954242825,8.55699930519,3.6094277654
YLDs (Years Lived with Disability),New Mexico,Female,35 to 39,Physical violence by firearm,Number,2015,1.30135375594,1.84574452398,0.803952754371
YLDs (Years Lived with Disability),New Mexico,Male,40 to 44,Physical violence by firearm,Number,2015,6.22721935426,8.65034877598,3.92102049262
YLDs (Years Lived with Disability),New Mexico,Female,40 to 44,Physical violence by firearm,Number,2015,1.43630615316,1.98597404323,0.920628171639
YLDs (Years Lived with Disability),New Mexico,Male,45 to 49,Physical violence by firearm,Number,2015,6.46942496689,8.9127177856,4.07687645668
YLDs (Years Lived with Disability),New Mexico,Female,45 to 49,Physical violence by firearm,Number,2015,1.59343338923,2.20933202309,1.06064036437
YLDs (Years Lived with Disability),New Mexico,Male,50 to 54,Physical violence by firearm,Number,2015,7.69724300884,10.6899821202,5.05578769976
YLDs (Years Lived with Disability),New Mexico,Female,50 to 54,Physical violence by firearm,Number,2015,2.01766991748,2.84184495785,1.30157153214
YLDs (Years Lived with Disability),New Mexico,Male,55 to 59,Physical violence by firearm,Number,2015,7.797606645,10.5941741886,5.13373000428
YLDs (Years Lived with Disability),New Mexico,Female,55 to 59,Physical violence by firearm,Number,2015,2.14163543404,2.97004965292,1.42131403732
YLDs (Years Lived with Disability),New Mexico,Male,60 to 64,Physical violence by firearm,Number,2015,7.10725063972,9.63376949566,4.66792392792
YLDs (Years Lived with Disability),New Mexico,Female,60 to 64,Physical violence by firearm,Number,2015,2.06138788527,2.93580892715,1.36319475867
YLDs (Years Lived with Disability),New Mexico,Male,65 to 69,Physical violence by firearm,Number,2015,6.29354892439,8.52637965088,4.10866485923
YLDs (Years Lived with Disability),New Mexico,Female,65 to 69,Physical violence by firearm,Number,2015,1.80348342412,2.60313400524,1.21916616074
YLDs (Years Lived with Disability),New Mexico,Male,70 to 74,Physical violence by firearm,Number,2015,4.27302342161,5.89636385098,2.81382975314
YLDs (Years Lived with Disability),New Mexico,Female,70 to 74,Physical violence by firearm,Number,2015,1.32694404724,1.90617830954,0.905774891875
YLDs (Years Lived with Disability),New Mexico,Male,75 to 79,Physical violence by firearm,Number,2015,2.95823147639,4.02819242935,1.9269668109
YLDs (Years Lived with Disability),New Mexico,Female,75 to 79,Physical violence by firearm,Number,2015,0.986785801052,1.45464418848,0.663679943365
YLDs (Years Lived with Disability),New Mexico,Male,80 plus,Physical violence by firearm,Number,2015,3.73797242428,5.15237733133,2.5169861863
YLDs (Years Lived with Disability),New Mexico,Female,80 plus,Physical violence by firearm,Number,2015,1.49289425907,2.18434665552,1.0187465398
YLDs (Years Lived with Disability),New Mexico,Male,<1 year,Physical violence by firearm,Number,2015,0.0251162394431,0.0420301349536,0.0138214781579
YLDs (Years Lived with Disability),New Mexico,Female,<1 year,Physical violence by firearm,Number,2015,0.0139272023346,0.0236163127016,0.00761456365346
YLDs (Years Lived with Disability),New Mexico,Male,Under 5,Physical violence by sharp object,Number,2015,0.329352006021,0.529088427742,0.189821277289
YLDs (Years Lived with Disability),New Mexico,Female,Under 5,Physical violence by sharp object,Number,2015,0.173980839701,0.284082671605,0.107052047041
YLDs (Years Lived with Disability),New Mexico,Male,1 to 4,Physical violence by sharp object,Number,2015,0.284568334058,0.448538481258,0.164117102352
YLDs (Years Lived with Disability),New Mexico,Female,1 to 4,Physical violence by sharp object,Number,2015,0.152853537006,0.24952652585,0.0906555326773
YLDs (Years Lived with Disability),New Mexico,Male,5 to 9,Physical violence by sharp object,Number,2015,0.630298406868,1.00693292519,0.401809615588
YLDs (Years Lived with Disability),New Mexico,Female,5 to 9,Physical violence by sharp object,Number,2015,0.343081344148,0.571613909959,0.2091704383
YLDs (Years Lived with Disability),New Mexico,Male,10 to 14,Physical violence by sharp object,Number,2015,1.36976523512,2.18964720045,0.779148954862
YLDs (Years Lived with Disability),New Mexico,Female,10 to 14,Physical violence by sharp object,Number,2015,0.629693850445,0.961586062078,0.374875612831
YLDs (Years Lived with Disability),New Mexico,Male,15 to 19,Physical violence by sharp object,Number,2015,4.20813875397,6.16515781775,2.50942061135
YLDs (Years Lived with Disability),New Mexico,Female,15 to 19,Physical violence by sharp object,Number,2015,1.1187849073,1.66220071586,0.682752841961
YLDs (Years Lived with Disability),New Mexico,Male,20 to 24,Physical violence by sharp object,Number,2015,9.13009415414,13.1134664055,5.75573607206
YLDs (Years Lived with Disability),New Mexico,Female,20 to 24,Physical violence by sharp object,Number,2015,1.7654937458,2.66604666804,1.1386549966
YLDs (Years Lived with Disability),New Mexico,Male,25 to 29,Physical violence by sharp object,Number,2015,10.9190572188,16.7678162213,6.52905428077
YLDs (Years Lived with Disability),New Mexico,Female,25 to 29,Physical violence by sharp object,Number,2015,2.11261684153,3.13542112415,1.30147023155
YLDs (Years Lived with Disability),New Mexico,Male,30 to 34,Physical violence by sharp object,Number,2015,13.0454463372,21.5273390939,7.69043789564
YLDs (Years Lived with Disability),New Mexico,Female,30 to 34,Physical violence by sharp object,Number,2015,2.62921909509,4.15459595352,1.63503083363
YLDs (Years Lived with Disability),New Mexico,Male,35 to 39,Physical violence by sharp object,Number,2015,12.9346880014,20.1208848483,7.82554756265
YLDs (Years Lived with Disability),New Mexico,Female,35 to 39,Physical violence by sharp object,Number,2015,2.72194788096,4.14629021875,1.6593612255
YLDs (Years Lived with Disability),New Mexico,Male,40 to 44,Physical violence by sharp object,Number,2015,13.8339363653,21.0812164874,8.66022917117
YLDs (Years Lived with Disability),New Mexico,Female,40 to 44,Physical violence by sharp object,Number,2015,3.06275674516,4.61199058145,1.87622118259
YLDs (Years Lived with Disability),New Mexico,Male,45 to 49,Physical violence by sharp object,Number,2015,14.8298394763,22.9716763275,9.39108125295
YLDs (Years Lived with Disability),New Mexico,Female,45 to 49,Physical violence by sharp object,Number,2015,3.39619864275,4.9787801034,2.07632700472
YLDs (Years Lived with Disability),New Mexico,Male,50 to 54,Physical violence by sharp object,Number,2015,17.8893428585,27.5426594276,11.0442565705
YLDs (Years Lived with Disability),New Mexico,Female,50 to 54,Physical violence by sharp object,Number,2015,4.27133050159,6.34273982258,2.55634219566
YLDs (Years Lived with Disability),New Mexico,Male,55 to 59,Physical violence by sharp object,Number,2015,18.2054722047,27.9882996056,10.9918657688
YLDs (Years Lived with Disability),New Mexico,Female,55 to 59,Physical violence by sharp object,Number,2015,4.50286563044,6.71692334554,2.79306673852
YLDs (Years Lived with Disability),New Mexico,Male,60 to 64,Physical violence by sharp object,Number,2015,16.5850221521,25.6324861416,10.3275061639
YLDs (Years Lived with Disability),New Mexico,Female,60 to 64,Physical violence by sharp object,Number,2015,4.26317635689,6.57119296023,2.68916138157
YLDs (Years Lived with Disability),New Mexico,Male,65 to 69,Physical violence by sharp object,Number,2015,14.6434052345,22.3665270562,9.01520113296
YLDs (Years Lived with Disability),New Mexico,Female,65 to 69,Physical violence by sharp object,Number,2015,3.66247506063,5.63387109764,2.31254274655
YLDs (Years Lived with Disability),New Mexico,Male,70 to 74,Physical violence by sharp object,Number,2015,9.86241059257,15.4220905123,5.92324645189
YLDs (Years Lived with Disability),New Mexico,Female,70 to 74,Physical violence by sharp object,Number,2015,2.62827055435,4.05557778704,1.66049019555
YLDs (Years Lived with Disability),New Mexico,Male,75 to 79,Physical violence by sharp object,Number,2015,6.69851759151,10.6318451754,4.0193329678
YLDs (Years Lived with Disability),New Mexico,Female,75 to 79,Physical violence by sharp object,Number,2015,1.90999054465,2.89167001914,1.18028689745
YLDs (Years Lived with Disability),New Mexico,Male,80 plus,Physical violence by sharp object,Number,2015,7.82795956736,12.1044494228,4.80461720311
YLDs (Years Lived with Disability),New Mexico,Female,80 plus,Physical violence by sharp object,Number,2015,2.8139089846,4.27547269128,1.76805722676
YLDs (Years Lived with Disability),New Mexico,Male,<1 year,Physical violence by sharp object,Number,2015,0.044783671963,0.0741085305839,0.0245257727594
YLDs (Years Lived with Disability),New Mexico,Female,<1 year,Physical violence by sharp object,Number,2015,0.021127302695,0.0362064153321,0.0116020565919
YLDs (Years Lived with Disability),New Mexico,Male,Under 5,Physical violence by other means,Number,2015,1.24833608951,1.86875539133,0.819935380014
YLDs (Years Lived with Disability),New Mexico,Female,Under 5,Physical violence by other means,Number,2015,1.13944286758,1.73621494521,0.75289302407
YLDs (Years Lived with Disability),New Mexico,Male,1 to 4,Physical violence by other means,Number,2015,1.08131707037,1.64371493899,0.694115597302
YLDs (Years Lived with Disability),New Mexico,Female,1 to 4,Physical violence by other means,Number,2015,0.987064605822,1.52130754189,0.620959385455
YLDs (Years Lived with Disability),New Mexico,Male,5 to 9,Physical violence by other means,Number,2015,2.53591717905,3.70277218195,1.60381511403
YLDs (Years Lived with Disability),New Mexico,Female,5 to 9,Physical violence by other means,Number,2015,2.11100720617,3.13771205491,1.37091313958
YLDs (Years Lived with Disability),New Mexico,Male,10 to 14,Physical violence by other means,Number,2015,4.89053201286,7.30454427372,3.1818550346
YLDs (Years Lived with Disability),New Mexico,Female,10 to 14,Physical violence by other means,Number,2015,3.47720697875,5.02383570433,2.18824127079
YLDs (Years Lived with Disability),New Mexico,Male,15 to 19,Physical violence by other means,Number,2015,12.5078043114,17.6327013084,8.55755631927
YLDs (Years Lived with Disability),New Mexico,Female,15 to 19,Physical violence by other means,Number,2015,5.71779643501,8.35366572271,3.86024213365
YLDs (Years Lived with Disability),New Mexico,Male,20 to 24,Physical violence by other means,Number,2015,27.2325292696,38.9811086762,18.2984371912
YLDs (Years Lived with Disability),New Mexico,Female,20 to 24,Physical violence by other means,Number,2015,9.34420342276,13.2822894936,6.56448960962
YLDs (Years Lived with Disability),New Mexico,Male,25 to 29,Physical violence by other means,Number,2015,32.9422895348,45.3937195591,22.2333628186
YLDs (Years Lived with Disability),New Mexico,Female,25 to 29,Physical violence by other means,Number,2015,11.3761633584,16.2746763212,7.77970888609
YLDs (Years Lived with Disability),New Mexico,Male,30 to 34,Physical violence by other means,Number,2015,41.081614964,61.357456356,26.9095191789
YLDs (Years Lived with Disability),New Mexico,Female,30 to 34,Physical violence by other means,Number,2015,14.2470120634,21.0465429679,9.62996524189
YLDs (Years Lived with Disability),New Mexico,Male,35 to 39,Physical violence by other means,Number,2015,41.8511150428,60.5293127152,28.2557373848
YLDs (Years Lived with Disability),New Mexico,Female,35 to 39,Physical violence by other means,Number,2015,14.9033616133,21.8490363087,10.2090668185
YLDs (Years Lived with Disability),New Mexico,Male,40 to 44,Physical violence by other means,Number,2015,46.5274675932,64.8615919571,31.8071523682
YLDs (Years Lived with Disability),New Mexico,Female,40 to 44,Physical violence by other means,Number,2015,16.9526345581,24.2258739778,11.7727081701
YLDs (Years Lived with Disability),New Mexico,Male,45 to 49,Physical violence by other means,Number,2015,52.2379376755,72.7235735234,36.4704201298
YLDs (Years Lived with Disability),New Mexico,Female,45 to 49,Physical violence by other means,Number,2015,19.4155797779,27.0987265387,13.6977836199
YLDs (Years Lived with Disability),New Mexico,Male,50 to 54,Physical violence by other means,Number,2015,65.253899915,90.1592105663,44.8997396459
YLDs (Years Lived with Disability),New Mexico,Female,50 to 54,Physical violence by other means,Number,2015,24.8411981512,34.3589023417,17.1345511042
YLDs (Years Lived with Disability),New Mexico,Male,55 to 59,Physical violence by other means,Number,2015,66.9859759432,92.3150537655,47.3063526512
YLDs (Years Lived with Disability),New Mexico,Female,55 to 59,Physical violence by other means,Number,2015,26.4592455039,36.6602078266,19.0053694512
YLDs (Years Lived with Disability),New Mexico,Male,60 to 64,Physical violence by other means,Number,2015,61.3890933522,86.6565927931,42.4179575944
YLDs (Years Lived with Disability),New Mexico,Female,60 to 64,Physical violence by other means,Number,2015,25.4908876356,35.4992193467,17.8307629497
YLDs (Years Lived with Disability),New Mexico,Male,65 to 69,Physical violence by other means,Number,2015,54.3939372909,74.6589041462,37.2001305166
YLDs (Years Lived with Disability),New Mexico,Female,65 to 69,Physical violence by other means,Number,2015,22.2324956387,30.8238233568,15.5956106369
YLDs (Years Lived with Disability),New Mexico,Male,70 to 74,Physical violence by other means,Number,2015,36.6111327853,50.7698393905,25.6209845878
YLDs (Years Lived with Disability),New Mexico,Female,70 to 74,Physical violence by other means,Number,2015,16.2459186392,22.6996566957,11.3990517759
YLDs (Years Lived with Disability),New Mexico,Male,75 to 79,Physical violence by other means,Number,2015,24.829620362,33.9447550039,17.1304475881
YLDs (Years Lived with Disability),New Mexico,Female,75 to 79,Physical violence by other means,Number,2015,11.9971670642,16.7995943782,8.37125853915
YLDs (Years Lived with Disability),New Mexico,Male,80 plus,Physical violence by other means,Number,2015,28.56641114,39.6547705824,19.6634217283
YLDs (Years Lived with Disability),New Mexico,Female,80 plus,Physical violence by other means,Number,2015,17.6110955518,24.7444503724,12.4272282812
YLDs (Years Lived with Disability),New Mexico,Male,<1 year,Physical violence by other means,Number,2015,0.167019019145,0.243491571773,0.10425779893
YLDs (Years Lived with Disability),New Mexico,Female,<1 year,Physical violence by other means,Number,2015,0.152378261763,0.23096568419,0.0939376105148
YLDs (Years Lived with Disability),New Mexico,Male,Under 5,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,0.144148654745,0.266711793523,0.0489160202351
YLDs (Years Lived with Disability),New Mexico,Female,Under 5,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,0.142369369901,0.258238423166,0.0514702716874
YLDs (Years Lived with Disability),New Mexico,Male,1 to 4,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,0.144148654745,0.266711793523,0.0489160202351
YLDs (Years Lived with Disability),New Mexico,Female,1 to 4,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,0.142369369901,0.258238423166,0.0514702716874
YLDs (Years Lived with Disability),New Mexico,Male,5 to 9,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,0.644758479697,1.1561066093,0.25683215
YLDs (Years Lived with Disability),New Mexico,Female,5 to 9,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,0.580274131417,1.05253778918,0.246754482247
YLDs (Years Lived with Disability),New Mexico,Male,10 to 14,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,1.57726764984,2.56535225377,0.715595334431
YLDs (Years Lived with Disability),New Mexico,Female,10 to 14,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,1.12215439927,1.81663080755,0.546442539385
YLDs (Years Lived with Disability),New Mexico,Male,15 to 19,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,4.86993113549,9.89569575754,2.11994056464
YLDs (Years Lived with Disability),New Mexico,Female,15 to 19,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,1.27388621836,1.8689708448,0.760424558423
YLDs (Years Lived with Disability),New Mexico,Male,20 to 24,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,14.7895747631,30.8967042436,5.49546627035
YLDs (Years Lived with Disability),New Mexico,Female,20 to 24,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,1.6983212279,2.51738847256,0.998691697399
YLDs (Years Lived with Disability),New Mexico,Male,25 to 29,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,25.1250283104,43.9432544907,11.1136705606
YLDs (Years Lived with Disability),New Mexico,Female,25 to 29,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,2.14667182979,3.07402629754,1.4065559146
YLDs (Years Lived with Disability),New Mexico,Male,30 to 34,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,36.4968936388,53.383558912,19.257660947
YLDs (Years Lived with Disability),New Mexico,Female,30 to 34,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,2.41605854728,3.48158406465,1.34325316737
YLDs (Years Lived with Disability),New Mexico,Male,35 to 39,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,30.4998918529,43.6307375838,15.1299071257
YLDs (Years Lived with Disability),New Mexico,Female,35 to 39,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,2.55017513119,3.6360471402,1.45028891893
YLDs (Years Lived with Disability),New Mexico,Male,40 to 44,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,28.5688030723,41.5845977252,12.3169051329
YLDs (Years Lived with Disability),New Mexico,Female,40 to 44,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,2.50717800064,3.45952562061,1.57398518322
YLDs (Years Lived with Disability),New Mexico,Male,45 to 49,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,25.7970748116,37.5784000665,10.324752573
YLDs (Years Lived with Disability),New Mexico,Female,45 to 49,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,2.38841723885,3.21914665698,1.49040956952
YLDs (Years Lived with Disability),New Mexico,Male,50 to 54,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,29.6080822523,43.0142444247,12.9386402551
YLDs (Years Lived with Disability),New Mexico,Female,50 to 54,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,2.38559019615,3.20571026892,1.55499923927
YLDs (Years Lived with Disability),New Mexico,Male,55 to 59,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,23.9334313014,37.9842385171,10.363004484
YLDs (Years Lived with Disability),New Mexico,Female,55 to 59,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,2.22769542703,2.95411152346,1.44630109645
YLDs (Years Lived with Disability),New Mexico,Male,60 to 64,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,15.8678483286,23.6193165998,6.98933803173
YLDs (Years Lived with Disability),New Mexico,Female,60 to 64,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,1.89830173312,2.58823730711,1.17596602767
YLDs (Years Lived with Disability),New Mexico,Male,65 to 69,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,9.51512729684,13.4912102928,4.72080770995
YLDs (Years Lived with Disability),New Mexico,Female,65 to 69,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,1.49765125782,2.04685248613,0.91260159898
YLDs (Years Lived with Disability),New Mexico,Male,70 to 74,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,4.60287671309,6.58944601575,2.73138140628
YLDs (Years Lived with Disability),New Mexico,Female,70 to 74,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,1.07646467914,1.48561212873,0.687876580745
YLDs (Years Lived with Disability),New Mexico,Male,75 to 79,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,2.3256276071,3.08685444872,1.4897043227
YLDs (Years Lived with Disability),New Mexico,Female,75 to 79,"Forces of nature, conflict and terrorism, and executions and police conflict",Number,2015,0.813575877209,1.14681469327,0.513149906539
